Symbol	Description
AAB	Aberdeen International Inc
AAV	Advantage Oil & Gas Ltd
ABCT	ABC Technologies Holdings Inc
ABST	Absolute Software Corp
ABX	Barrick Gold Corp
AC	Air Canada
ACB	Aurora Cannabis Inc
ACD	Accord Financial
ACQ	Autocanada Inc
ADCO	Adcore Inc
ADN	Acadian Timber Corp
AEG	Aegis Brands Inc
AEM	Agnico Eagle Mines Limited
AEZS	Aeterna Zentaris Inc
AFN	Ag Growth International Inc
AGI	Alamos Gold Inc Cls A
AH	Aleafia Health Inc
AHC	Apollo Healthcare Corp.
AI	Atrium Mortgage Investment Corp
AIF	Altus Group Limited
AII	Almonty Industries Inc
AIM	Aimia Inc
AJX	Agjunction Inc
AKU	Akumin Inc
ALA	Altagas Ltd
ALC	Algoma Central
ALS	Altius Minerals Corp
ALYA	Alithya Group
AMM	Almaden Minerals Ltd
AND	Andlauer Healthcare Group Inc
ANRG	Anaergia Inc
ANX	Anaconda Mining Inc
AOI	Africa Oil Corp
AOT	Ascot Resources Ltd
APLI	Appili Therapeutics Inc
APS	Aptose Biosciences Inc
APY	Anglo Pacific Group Plc
AQA	Aquila Resources Inc
AQN	Algonquin Power and Utilities Corp
AR	Argonaut Gold Inc
ARE	Aecon Group Inc
ARG	Amerigo Resources Ltd
ARIS	Aris Gold Corp
ARR	Altius Renewable Royalties Corp
ARX	Arc Resources Ltd
ASM	Avino Silver and Gold Mines Ltd
ASND	Ascendant Resources Inc
ASP	Acerus Pharmaceuticals Corp
AT	Acuityads Holdings Inc
ATA	Ats Automation
ATE	Antibe Therapeutics Inc
ATH	Athabasca Oil Corp
ATZ	Aritzia Inc
AUMN	Golden Minerals Company
AUP	Aurinia Pharmaceuticals Inc
AVL	Avalon Advanced Materials Inc
AVNT	Avant Brands Inc
AVP	Avcorp Industries Inc
AXU	Alexco Resource Corp
AYA	Aya Gold and Silver Inc
AYM	Atalaya Mining Plc
AZG	Arizona Gold Corp
AZZ	Azarga Uranium Corp
BAMR	Brookfield Asset Management Re Part Ltd
BB	Blackberry Limited
BBTV	Bbtv Holdings Inc.
BCE	BCE Inc
BDGI	Badger Infrastructure Solutions Ltd
BDI	Black Diamond Group Ltd
BDT	Bird Construction Inc
BEPC	Brookfield Renewable Corporation
BHC	Bausch Health Companies Inc
BIPC	Brookfield Infrastructure Corporation
BIR	Birchcliff Energy Ltd
BK	Canadian Banc Corp
BKI	Black Iron Inc
BLDP	Ballard Power Systems Inc
BLN	Blackline Safety Corp
BLU	Bellus Health Inc
BLX	Boralex Inc
BMO	Bank of Montreal
BNE	Bonterra Energy Corp
BNG	Bengal Energy Ltd
BNK	Bankers Petroleum Ltd.
BNS	Bank of Nova Scotia
BOS	Airboss America J
BR	Big Rock Brewery Inc
BRAG	Bragg Gaming Group Inc
BRE	Bridgemarq Real Estate Services Inc.
BRMI	Boat Rocker Media Inc
BRY	Bri Chem Corp
BSX	Belo Sun Mining Corp
BTE	Baytex Energy Corp
BTO	B2Gold Corp
BU	Burcon Nutrascience Corp
BUI	Buhler Ind
BYD	Boyd Group Services Inc
BYL	Baylin Technologies Inc
CAE	Cae Inc
CARE	Dialogue Health Technologies Inc
CAS	Cascades Inc
CCA	Cogeco Communications Inc
CCM	Canagold Resources Ltd
CCO	Cameco Corp
CDAY	Ceridian Hcm Holdings Inc
CEE	Centamin Plc
CEF	Sprott Physical Gold Silver Trust
CERV	Cervus Equipment Corp
CET	Cathedral Energy Services Ltd
CEU	Ces Energy Solutions Corp
CF	Canaccord Genuity Group Inc
CFF	Conifex Timber Inc
CFP	Canfor Corp
CFW	Calfrac Well Services Ltd
CFX	Canfor Pulp Products Inc
CG	Centerra Gold Inc
CGG	China Gold Int Resources Corp
CGI	CDN General Inv
CGO	Cogeco Inc Sv
CGX	Cineplex Inc
CGY	Calian Group Ltd
CHR	Chorus Aviation Inc
CHW	Chesswood Group Limited
CIA	Champion Iron Limited
CIGI	Colliers International Group Inc
CIX	CI Financial Corp
CJ	Cardinal Energy Ltd
CJT	Cargojet Inc
CKI	Clarke Inc
CLIQ	Alcanna Inc
CLMT	Purpose Global Climate Opportunities Fun
CLS	Celestica Inc Sv
CM	Canadian Imperial Bank of Commerce
CMG	Computer Modelling Group Ltd
CMMC	Copper Mountain Mining Corp
CNE	Canacol Energy Ltd
CNQ	CDN Natural Res
CNR	Canadian National Railway Co.
CNT	Century Global Commodities Corp
CNU	Cnooc Limited
COG	Condor Gold Plc
CP	Canadian Pacific Railway Limited
CPG	Crescent Point Energy Corp
CPH	Cipher Pharmaceuticals Inc
CPI	Condor Petroleum Inc
CPX	Capital Power Corp
CR	Crew Energy Inc
CRDL	Cardiol Therapeutics Inc
CRON	Cronos Group Inc
CRP	Ceres Global Ag Corp
CRRX	Carerx Corporation
CRWN	Crown Capital Partners Inc
CS	Capstone Mining Corp
CSM	Clearstream Energy Services Inc
CSU	Constellation Software Inc
CTC	Canadian Tire Corporation Limited
CTS	Converge Technology Solutions Corp
CTX	Crescita Therapeutics Inc
CU	Canadian Utilities Ltd Cl.A NV
CVE	Cenovus Energy Inc
CVG	Clairvest Group
CWB	CDN Western Bank
CWEB	Charlotte's Web Holdings Inc
CWL	Caldwell Partners International Inc
CXB	Calibre Mining Corp
CXI	Currency Exchange International Corp
CYB	Cymbria Corporation Cl A
DBM	Doman Building Materials Group Ltd
DBO	Dbox Technologies Inc
DCBO	Docebo Inc
DCM	Data Communications Mgmt Corp
DF	Dividend 15 Split Corp II
DFN	Dividend 15 Split Corp
DGS	Dividend Growth Split Corp Class A
DIAM	Star Diamond Corp
DIV	Diversified Royalty Corp
DML	Denison Mines Corp
DN	Delta 9 Cannabis Inc
DND	Dye & Durham Ltd
DNG	Dynacor Gold Mines Inc
DNT	Candente Copper Corp
DNTL	Dentalcorp Holdings Ltd
DOL	Dollarama Inc
DOO	Brp Inc
DPM	Dundee Precious Metals Inc
DR	Medical Facilities Corp
DRCU	Desjardins RI Active Canadian Bond-Low C
DRDR	Mci Onehealth Technologies Inc
DRM	Dream Unlimited Corp
DRT	Dirtt Environmental Solutions Ltd
DRX	Adf Group Inc Sv
DS	Dividend Select 15 Corp
DSG	Descartes Sys
DXT	Dexterra Group Inc
DYA	Dynacert Inc
E	Enterprise Group Inc
ECN	Ecn Capital Corp
ECO	Ecosynthetix Inc
EDR	Endeavour Silver Corp
EDT	Spectral Medical Inc
EDV	Endeavour Mining Corp
EFL	Electrovaya Inc
EFN	Element Fleet Management Corp
EFR	Energy Fuels Inc
EFX	Enerflex Ltd
EGLX	Enthusiast Gaming Holdings Inc
EIF	Exchange Income Corp
ELD	Eldorado Gold
ELEF	Silver Elephant Mining Corporation
ELF	E-L Financial
ELR	Eastern Platinum Limited
EMA	Emera Incorporated
ENB	Enbridge Inc
ENGH	Enghouse Systems Limited
ENS	E Split Corp
EOX	Euromax Resources Ltd
EPRX	Eupraxia Pharmaceuticals Inc
EQB	Equitable Group Inc
EQX	Equinox Gold Corp
ERD	Erdene Resource Development Corp
ERF	Enerplus Corp
ERO	Ero Copper Corp
ESI	Ensign Energy Services Inc
ESM	Euro Sun Mining Inc
ESN	Essential Energy Services Ltd
ET	Evertz Technologies Limited
ETG	Entree Resources Ltd
ETX	Etrion Corp
EVT	Economic Investment
EXE	Extendicare Inc
EXF	Exfo Inc
EXN	Excellon Resources Inc
EXRO	Exro Technologies Inc
FAF	Fire & Flower Holdings Corp.
FAP	Aberdeen Asia-Pacific Income Invest Ltd
FAR	Foraco International Sa
FC	Firm Capital Mortgage Inv. Corp
FCRH	Fidelity US Div Rising Rates Cur Neu Idx
FCU	Fission Uranium Corp
FDGE	Farmers Edge Inc
FEC	Frontera Energy Corp
FF	First Mining Gold Corp
FFH	Fairfax Financial Holdings Ltd
FFN	North American Financial 15 Split Corp
FLOW	Flow Beverage Corp
FM	First Quantum Minerals Ltd
FN	First National Financial Corp
FNV	Franco-Nevada Corp
FOOD	Goodfood Market Corp
FORA	Verticalscope Holdings Inc
FORZ	Forza Petroleum Limited
FR	First Majestic Silver Corp Common
FRII	Freshii Inc
FRU	Freehold Royalties Ltd
FRX	Fennec Pharmaceuticals Inc
FSV	Firstservice Corp
FSY	Forsys Metals Corp
FSZ	Fiera Capital Corp
FT	Fortune Mnrl J
FTG	Firan Technology Group Corp
FTN	Financial 15 Split Corp
FTRP	Field Trip Health Ltd.
FTS	Fortis Inc
FTT	Finning Intl
FTU	US Financial 15 Split Corp
FURY	Fury Gold Mines Limited
FVI	Fortuna Silver Mines Inc
FVL	Freegold Ventures Limited
FXC	Fax Capital Corp
G	Augusta Gold Corp
GATO	Gatos Silver Inc
GAU	Galiano Gold Inc
GBAR	Monarch Mining Corporation
GBT	Bmtc Group Inc
GC	Great Canadian Gaming Corp
GCG	Guardian Capital
GCL	Colabor Group Inc
GCM	Gran Colombia Gold Corp
GCSC	Guardian Canadian Sector Controlled Equi
GDC	Genesis Land J
GDI	Gdi Integrated Facility Services Inc
GDL	Goodfellow Inc
GDV	Global Dividend Growth Split Corp
GEI	Gibson Energy Inc
GENM	Generation Mining Limited
GEO	Geodrill Limited
GFL	Gfl Environmental Inc
GGA	Goldgroup Mining Inc
GGD	Gogold Resources Inc
GH	Gamehost Inc
GIL	Gildan Activewear Inc
GLG	Glg Life Tech Corp
GLO	Global Atomic Corp
GLXY	Galaxy Digital Holdings Ltd
GMX	Globex Mining Enterprises Inc
GOLD	Goldmining Inc
GOOS	Canada Goose Holdings Inc
GPR	Great Panther Silver Limited
GRA	Nanoxplore Inc
GRC	Gold Springs Resource Corp
GRID	Tantalus Systems Holding Inc
GRN	Greenlane Renewables Inc
GSC	Golden Star
GSV	Gold Standard Ventures Corp
GSY	Goeasy Ltd
GTE	Gran Tierra Energy Inc
GTMS	Greenbrook Tms Inc
GUD	Knight Therapeutics Inc
GURU	Guru Organic Energy Corp
GVC	Glacier Media Inc
GWO	Great-West Lifeco Inc
GWR	Global Water Resources Inc
GXE	Gear Energy Ltd
H	Hydro One Limited
HAI	Haivision Systems Inc
HBM	Hudbay Minerals Inc
HBP	Helix Biopharm
HCG	Home Capital Group Inc
HDI	Hardwoods Distribution Inc
HE	Hanwei Energy Services Corp
HEXO	Hexo Corp
HLF	High Liner
HLS	Hls Therapeutics Inc
HRT	Harte Gold Corp
HRX	Heroux-Devtek
HSM	Helius Medical Technologies Inc
HUM	Hamilton U.S. Mid/Small-Cap Financials E
HUT	Hut 8 Mining Corp
HWO	High Arctic Energy Services Inc
HWX	Headwater Exploration Inc
HZM	Horizonte Minerals Plc
IAG	IA Financial Corporation Inc.
IAU	I-80 Gold Corp.
IBG	Ibi Group Inc
ICE	Canlan ICE Sports Corp
ICPB	IA Clarington Core Plus Bond Fund
IDG	Indigo Books & Music Inc
IFA	Ifabric Corp
IFC	Intact Financial Corp
IFP	Interfor Corp
IGCF	Pimco Investment Grade Credit Fund
IGLB	IA Clarington Global Bond Fund
IGM	Igm Financial Inc
III	Imperial Metals Corp
IMG	Iamgold Corp
IMO	Imperial Oil
IMP	Intermap Tech Corp
IMV	Imv Inc.
INE	Innergex Renewable Energy Inc
INQ	Inscape Corp Sv
INV	Inv Metals Inc
IPCI	Intellipharmaceutics International Inc
IPCO	International Petroleum Corp
IPL	Inter Pipeline Ltd
IPO	Inplay Oil Corp
ISV	Information Services Corp
